number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.002190166905822823	2020-07-16 18:51:12.621238	2020-07-16 18:55:55.385718	0.40992226544806376	22.813530214084015	64	1	7	0.07864771028604335	512	0.9346637053678315	8.811016287792966e-05	0.002190166905822823	0.0005664224756438336	0.0009943861239080634	4489.787547516552	0.0017293482170441343	8.811016287792966e-05	0.002190166905822823	0.0005664224756438336	0.0009943861239080634	4489.784243385444	0.0017293489251484497		2940425267.0	150.0	8.811016287792966e-05	0.002190166905822823	0.0005664224756438336	0.0009943861239080634	4489.79085164766	0.001729347510380126	0		COMPLETE
1	0.007980263323515344	2020-07-16 18:55:55.387235	2020-07-16 19:00:59.508198	0.964210468811253	17.269308874799545	128	1	5	0.01119937908050405	128														CUDA out of memory. Tried to allocate 5.46 GiB (GPU 0; 31.72 GiB total capacity; 12.41 GiB already allocated; 4.97 GiB free; 25.82 GiB reserved in total by PyTorch)									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.001560808599551897	2020-07-16 19:00:59.508217	2020-07-16 19:07:09.186659	0.12494977555265688	19.65138640834903	128	2	9	0.07520058890083879	128														CUDA out of memory. Tried to allocate 5.46 GiB (GPU 0; 31.72 GiB total capacity; 12.75 GiB already allocated; 4.99 GiB free; 25.80 GiB reserved in total by PyTorch)									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3	0.002190166905822823	2020-07-16 19:07:09.186679	2020-07-16 19:11:55.501325	0.8788619289779572	27.317518108496195	128	2	2	0.05284210854525067	512	0.9277892521058525	0.00017622032575585932	0.002190166905822823	0.0007678171336505299	0.0012335422802910152	4456.840325504116	0.0018969031600242399	0.00017622032575585932	0.002190166905822823	0.0007678171336505299	0.0012335422802910152	4456.806195403167	0.0018971110120562218		4210109433.0	150.0	0.00017622032575585932	0.002190166905822823	0.0007678171336505299	0.0012335422802910152	4456.874455605065	0.0018967020162855817	3		COMPLETE
4	0.007917327492888251	2020-07-16 19:11:55.502799	2020-07-16 19:23:56.008709	0.4412628007365115	10.792944891931839	64	1	7	0.03306155906648891	128	0.9407318585900162	0.005878206580570451	0.007917327492888251	0.0064068675578380285	0.006885179870603933	4519.078411751379	0.0074278880119696125	0.005878206580570451	0.007917327492888251	0.0064068675578380285	0.006885179870603933	4519.075611106915	0.0074278888376128486		1754887463.0	150.0	0.005878206580570451	0.007917327492888251	0.0064068675578380285	0.006885179870603933	4519.081212395841	0.007427887188297866	4		COMPLETE
5	0.008131309317020366	2020-07-16 19:23:56.010499	2020-07-16 19:31:05.390657	0.8002968180805237	9.412981185092585	64	1	9	0.014642065174175701	256	0.8993845263744505	0.005928555245072124	0.008131309317020366	0.006469803388465121	0.006885179870603933	4320.236858998565	0.00761857202986417	0.005928555245072124	0.008131309317020366	0.006469803388465121	0.006885179870603933	4320.235077914558	0.007618572430580038		1634509606.0	150.0	0.005928555245072124	0.008131309317020366	0.006469803388465121	0.006885179870603933	4320.238640082572	0.007618571630001483	5		COMPLETE
6	0.0031467915313546308	2020-07-16 19:31:05.392083	2020-07-16 19:35:48.435313	0.9948251555478084	2.169238036490384	64	2	5	0.04000200496816517	512	0.8834520589772442	0.00030209198701004454	0.0031467915313546308	0.0009188631271555522	0.0017370289253077563	4243.651895627218	0.002278333404139908	0.00030209198701004454	0.0031467915313546308	0.0009188631271555522	0.0017370289253077563	4243.64998867155	0.0022783373360523657		730577318.0	150.0	0.00030209198701004454	0.0031467915313546308	0.0009188631271555522	0.0017370289253077563	4243.653802582887	0.002278329508596939	6		COMPLETE
7	0.00460690280190318	2020-07-16 19:35:48.436885	2020-07-16 19:42:51.685538	0.4862464312800219	25.518387828862213	64	1	7	0.01923674698827756	256	0.9121597285069347	0.0011328449512876672	0.00460690280190318	0.0021398182413211488	0.0029202225410970973	4381.614184477507	0.003212784206262578	0.0011328449512876672	0.00460690280190318	0.0021398182413211488	0.0029202225410970973	4381.611660750698	0.0032127855168519615		3852057045.0	150.0	0.0011328449512876672	0.00460690280190318	0.0021398182413211488	0.0029202225410970973	4381.616708204315	0.0032127829011093308	7		COMPLETE
8	0.003776149837625557	2020-07-16 19:42:51.686981	2020-07-16 19:49:01.773793	0.6766852995088272	20.737459880249194	128	1	1	0.09896945546861578	256	0.9309187281359976	0.00046572514664048535	0.003776149837625557	0.0011580192835385042	0.0019006620849381971	4471.4352138559525	0.002281704123526821	0.00046572514664048535	0.003776149837625557	0.0011580192835385042	0.0019006620849381971	4471.426151096342	0.002281708289276587		1791058337.0	150.0	0.00046572514664048535	0.003776149837625557	0.0011580192835385042	0.0019006620849381971	4471.444276615563	0.0022816999697312973	8		COMPLETE
9	0.006683785212597236	2020-07-16 19:49:01.775457	2020-07-16 19:53:47.261040	0.4283916319041571	2.207365048261292	128	1	5	0.08760623005936764	512	0.9926282192367487	0.005739747753190846	0.006683785212597236	0.005865619414445032	0.006155124235329658	4768.295924275609	0.006640725879124923	0.005739747753190846	0.006683785212597236	0.005865619414445032	0.006155124235329658	4768.288183168442	0.006640727298574889		1896697258.0	150.0	0.005739747753190846	0.006683785212597236	0.005865619414445032	0.006155124235329658	4768.303665382776	0.006640724461209993	9		COMPLETE
10	0.008206832313772876	2020-07-16 19:53:47.262835	2020-07-16 20:03:56.528326	0.7413459500316457	8.828539779106883	128	1	1	0.00688250175155608	128	0.9641425867420859	0.006004078241824635	0.008206832313772876	0.006608262215844725	0.007086574528610628	4632.427573446114	0.007744374582230486	0.006004078241824635	0.008206832313772876	0.006608262215844725	0.007086574528610628	4632.426025224681	0.007744374974000359		1889858247.0	150.0	0.006004078241824635	0.008206832313772876	0.006608262215844725	0.007086574528610628	4632.429121667547	0.007744374191160068	10		COMPLETE
11	0.0024922588928328678	2020-07-16 20:03:56.529841	2020-07-16 20:16:11.476013	0.6689021650993502	21.440737168325715	64	2	9	0.018554747869444135	128	1.012932853195099	0.0002139818241321149	0.0024922588928328678	0.0008055786320267854	0.001346826775419782	4866.915848500868	0.001976384924542494	0.00023915615638295194	0.0025300203912091233	0.0008055786320267854	0.0013594139415452006	4866.895362887999	0.0019861110861428147		1757448197.0	150.0	0.0002139818241321149	0.0024922588928328678	0.0008055786320267854	0.001346826775419782	4866.936334113738	0.0019709562244793898	11		COMPLETE
