number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.007074484890403122	2020-07-24 14:10:57.434003	2020-07-24 15:46:20.300808	0.4933831587166959	26.527126763841196	64	2	0.04455829235937966	128	0.905792997744871	0.0009520881898369923	0.007074484890403122	0.0023908941090076937	0.0037485804066227767	4212.148068926062	0.004423006951066873	0.0009520881898369923	0.007074484890403122	0.0023908941090076937	0.0037485804066227767	4212.146852131738	0.004423008097045615		345891318.0	150.0	0.0009520881898369923	0.007074484890403122	0.0023908941090076937	0.0037485804066227767	4212.149285720385	0.004423005814320381	0		COMPLETE
1	0.007196164322736549	2020-07-24 15:46:20.302124	2020-07-24 16:32:01.804072	0.7147350383446296	16.677353566729682	128	1	0.01731531817888871	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 20.21 GiB already allocated; 7.63 GiB free; 23.16 GiB reserved in total by PyTorch)									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2		2020-07-24 16:32:01.804093	2020-07-24 16:32:21.621898	0.19890704981065438	16.440846777060173	128	2	0.020662721469566533	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 20.72 GiB already allocated; 7.62 GiB free; 23.17 GiB reserved in total by PyTorch)									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3		2020-07-24 16:32:21.621918	2020-07-24 16:32:40.820738	0.6814514323289004	29.168891456463218	64	9	0.036311242743297424	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 21.21 GiB already allocated; 7.62 GiB free; 23.17 GiB reserved in total by PyTorch)									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-07-24 16:32:40.820754	2020-07-24 16:33:00.066409	0.5672549954565038	25.825336223330307	64	8	0.08647035829705753	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 21.71 GiB already allocated; 7.62 GiB free; 23.17 GiB reserved in total by PyTorch)									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5		2020-07-24 16:33:00.066424	2020-07-24 16:33:19.569733	0.7732410697967664	28.155874677219742	128	6	0.01762660596520799	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 22.23 GiB already allocated; 7.62 GiB free; 23.17 GiB reserved in total by PyTorch)									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6		2020-07-24 16:33:19.569751	2020-07-24 16:34:17.735705	0.31134181758360197	24.984343938301848	128	9	0.04493618410014688	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 22.73 GiB already allocated; 5.27 GiB free; 25.52 GiB reserved in total by PyTorch)									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-07-24 16:34:17.735723	2020-07-24 16:35:16.051296	0.807807165652363	27.519644723152222	128	10	0.008434091432296238	128														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 23.24 GiB already allocated; 5.27 GiB free; 25.52 GiB reserved in total by PyTorch)									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-07-24 16:35:16.051312	2020-07-24 16:35:48.766924	0.9842185584815674	20.176497429713166	128	5	0.05727410925488611	256														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 23.74 GiB already allocated; 5.27 GiB free; 25.52 GiB reserved in total by PyTorch)									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-07-24 16:35:48.766944	2020-07-24 16:36:09.104254	0.3031190280474927	19.981677146726543	128	10	0.08358365494975986	512														CUDA out of memory. Tried to allocate 8.04 GiB (GPU 0; 31.72 GiB total capacity; 24.24 GiB already allocated; 5.27 GiB free; 25.52 GiB reserved in total by PyTorch)									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
