number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0042343833311405486	2020-07-16 18:51:23.845990	2020-07-16 19:21:07.966621	0.29352962283064843	16.18482023828231	64	2	10	0.07417703959685498	256	0.9666478868689966	0.0003704652628225991	0.0042343833311405486	0.0011113957884677972	0.0020462146759640753	4560.955583984822	0.0030658077972419047	0.00037738984717442333	0.0042551570841960215	0.0011356318336991822	0.002060063844667724	4560.900708384979	0.0030741117206908516	883686660	150	0.0003704652628225991	0.0042343833311405486	0.0011113957884677972	0.0020427523837881633	4561.010459584663	0.003059604895177075	0	COMPLETE
1	0.0068657253848337756	2020-07-16 19:21:07.968078	2020-07-16 19:40:54.312650	0.573039495421922	17.81833133462081	64	1	10	0.005693260334073945	512	0.7121735082319861	0.002160470317769176	0.0068657253848337756	0.003174921925311433	0.004265543960723758	3340.398224190343	0.005247959319556017	0.002160470317769176	0.0068657253848337756	0.003174921925311433	0.004265543960723758	3340.395390304197	0.005247962208379786	3069982640	150	0.002160470317769176	0.0068657253848337756	0.003174921925311433	0.004265543960723758	3340.401058076489	0.005247956451990869	1	COMPLETE
2	0.005937831081689321	2020-07-16 19:40:54.314094	2020-07-16 20:00:21.630573	0.1711056355324974	7.254197952272288	64	1	4	0.03661746697364533	512	0.9157238017148596	0.0020739130133713723	0.005937831081689321	0.002904863135590286	0.0037462001343369364	4316.198456856378	0.004698564883819906	0.0020739130133713723	0.005937831081689321	0.002904863135590286	0.0037462001343369364	4316.192306094326	0.004698579778619861	1063030457	150	0.0020739130133713723	0.005937831081689321	0.002904863135590286	0.0037462001343369364	4316.204607618428	0.004698551133008357	2	COMPLETE
3	0.0023162734656852224	2020-07-16 20:00:21.631968	2020-07-16 20:29:49.809172	0.32563824596025265	2.598347229442278	128	1	10	0.07774243377635984	256	1.008517742387171	0.0016792117053173884	0.0023162734656852224	0.0017796181784188404	0.0019215721576312382	4747.900966325747	0.0025059043601123425	0.0016792117053173884	0.0023162734656852224	0.0017796181784188404	0.0019215721576312382	4747.889535568128	0.0025059070671202394	3928179656	150	0.0016792117053173884	0.0023162734656852224	0.0017796181784188404	0.0019215721576312382	4747.912397083365	0.0025059016575954295	3	COMPLETE
4	0.004878369675860207	2020-07-16 20:29:49.810554	2020-07-16 21:18:26.509003	0.14756952838687645	3.5895254157311283	128	2	9	0.06868839048933462	128	0.92611003863435	0.0004743340280999633	0.004878369675860207	0.0014333889608276263	0.002510161827536302	4365.227830943198	0.0032397723465020936	0.0004743340280999633	0.004878369675860207	0.0014333889608276263	0.002510161827536302	4365.22197101369	0.003239788632276602	2626776398	150	0.0004743340280999633	0.004878369675860207	0.0014333889608276263	0.002510161827536302	4365.233690872706	0.003239756414255322	4	COMPLETE
5	0.005266146399562366	2020-07-16 21:18:26.510431	2020-07-16 21:38:28.524478	0.10487665038792948	23.04266906805647	128	1	8	0.08266003407686079	512	0.7256769007873775	0.000491645488979524	0.005266146399562366	0.0013468316564298228	0.0021708571942969123	3400.357441850803	0.003406286827174991	0.000491645488979524	0.005266146399562366	0.0013468316564298228	0.0021708571942969123	3400.345990319431	0.003406301064816406	3388881994	150	0.000491645488979524	0.005266146399562366	0.0013468316564298228	0.0021708571942969123	3400.3688933821745	0.0034062726940714224	5	COMPLETE
6	0.0023197357578611344	2020-07-16 21:38:28.526026	2020-07-16 22:18:56.014303	0.9801730704071933	8.210727354500893	128	1	5	0.061316515283746556	128	1.0335880873246677	0.0016861362896692126	0.0023197357578611344	0.0018246279767056982	0.0019942802933253932	4868.625998005719	0.002488833464017605	0.0016861362896692126	0.0023197357578611344	0.0018246279767056982	0.0019942802933253932	4868.614681503743	0.002488837579886012	4225225874	150	0.0016861362896692126	0.0023197357578611344	0.0018246279767056982	0.0019942802933253932	4868.637314507697	0.002488829358430257	6	COMPLETE
7	0.004622160054842708	2020-07-16 22:18:56.015656	2020-07-16 22:44:56.960362	0.29589594494798216	28.652541595696174	128	2	3	0.02335949456463672	256	0.5698796434600175	0.0004570225672204026	0.004622160054842708	0.0013191333190225257	0.0022158669925837703	2653.236832902855	0.0038823679690182323	0.0004985700733313483	0.004816048416693788	0.001426464376475802	0.002333584926564783	2653.1154432080216	0.003944183850866262	239653661	150	0.0004570225672204026	0.004549451919148553	0.0013191333190225257	0.0021985555317042093	2653.3582225976884	0.00383757905609562	7	COMPLETE
8	0.0036492559534113964	2020-07-16 22:44:56.961743	2020-07-16 23:04:54.702444	0.7333630347574407	25.502709517153132	64	2	7	0.04063362540994369	512	0.5746905643818232	0.0003289177567116534	0.0036492559534113964	0.0010456122371254666	0.001741532964483807	2676.62907771461	0.0032924482025086512	0.0003739275549985112	0.0037738984717442334	0.0011356318336991822	0.0019007984045757652	2676.5332657032263	0.0033527098712796983	3030370467	150	0.0003289177567116534	0.003580010109893154	0.0010352253605977301	0.0017311460879560704	2676.724889725994	0.0032501431041638256	8	COMPLETE
9	0.004743340280999633	2020-07-16 23:04:54.703847	2020-07-16 23:34:36.576361	0.8286554805661027	2.540858934571827	128	2	7	0.04988590497445474	256	0.5697993357537121	0.00042239964546128116	0.004743340280999633	0.0012083399693933372	0.0021673949021210003	2652.4500148878565	0.003991906578710483	0.00042239964546128116	0.004746802573175545	0.0012083399693933372	0.0021673949021210003	2652.4449599412796	0.003991953784782972	2112905460	150	0.00042239964546128116	0.004743340280999633	0.0012083399693933372	0.0021673949021210003	2652.4550698344333	0.003991861274753144	9	COMPLETE
