number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.008276737831494688	2020-07-20 13:30:20.687857	2020-07-20 14:10:04.145793	0.6455869812963193	9.83260590257373	64	10	0.08818254714865749	256	0.6013970830582939	0.0009580607489880837	0.008276737831494688	0.0026474223063753556	0.004144037914262067	2848.8571780859193	0.005455981989577537	0.0009580607489880837	0.008276737831494688	0.0026474223063753556	0.004144037914262067	2848.856347577637	0.005455984733249888	219054	250	0.0009580607489880837	0.008276737831494688	0.0026474223063753556	0.004144037914262067	2848.8580085942017	0.005455979272388555	0	COMPLETE
1	0.007227973106271046	2020-07-20 14:10:04.147258	2020-07-20 14:44:53.065304	0.24573410405372814	21.586445393423304	64	9	0.03641108621434756	128	0.8673007856203764	0.0017120375514461615	0.007227973106271046	0.0032823501400242633	0.004552205807322078	4129.852875316046	0.004802995554514718	0.0017120375514461615	0.007227973106271046	0.0032823501400242633	0.004552205807322078	4129.851647977868	0.004802997300258824	720931518	150	0.0017120375514461615	0.007227973106271046	0.0032823501400242633	0.004552205807322078	4129.854102654225	0.0048029938342992	1	COMPLETE
2	0.007398043061712718	2020-07-20 14:44:53.066847	2020-07-20 15:20:33.528018	0.9974458901958179	21.249925206297192	128	10	0.03208402563394158	128	0.8748072351285465	0.0019274594950056123	0.007398043061712718	0.0034127371058628782	0.004614564790984025	4165.919644780553	0.005002163222627132	0.0019274594950056123	0.007398043061712718	0.0034127371058628782	0.004614564790984025	4165.917731493554	0.00500217793423199	3859035489	150	0.0019274594950056123	0.007398043061712718	0.0034127371058628782	0.004614564790984025	4165.921558067552	0.005002149304915617	2	COMPLETE
3	0.009280150568600551	2020-07-20 15:20:33.529447	2020-07-20 15:56:17.658116	0.9052197707746654	14.165655327037982	128	7	0.00955423229697824	128	0.8988010891881428	0.0024830213494484066	0.009280150568600551	0.004382135851880407	0.005833399471649338	4282.095556638964	0.005905525977466311	0.0024830213494484066	0.009280150568600551	0.004382135851880407	0.005833399471649338	4282.093940974388	0.005905527843939593	1799330839	150	0.0024830213494484066	0.009280150568600551	0.004382135851880407	0.005833399471649338	4282.097172303541	0.005905524134969659	3	COMPLETE
4	0.004274424880100681	2020-07-20 15:56:17.659936	2020-07-20 16:26:57.048471	0.9617757039721505	7.35426746251823	64	6	0.08413167376133954	128	0.8032519871957117	0.0004988718692955702	0.004274424880100681	0.0013265456524450391	0.002233585414800621	3819.7457227406207	0.0030724490041059557	0.0004988718692955702	0.004274424880100681	0.0013265456524450391	0.002233585414800621	3819.7449290808286	0.003072450851054943	524652112	150	0.0004988718692955702	0.004274424880100681	0.0013265456524450391	0.002233585414800621	3819.746516400413	0.0030724471850114036	4	COMPLETE
5	0.010124831347294187	2020-07-20 16:26:57.050286	2020-07-20 16:57:27.511066	0.25387876884441635	4.721133382730404	128	7	0.004723220126439455	256	0.5725018849794239	0.0017517205410492182	0.010124831347294187	0.00382090499892289	0.0056179775280898875	2711.3168034784976	0.006768468597148157	0.0017517205410492182	0.01013050034580891	0.00382090499892289	0.0056179775280898875	2711.315508112337	0.006768515323927923	4212508129	200	0.0017517205410492182	0.010124831347294187	0.00382090499892289	0.0056179775280898875	2711.318098844658	0.00676842531547523	5	COMPLETE
6	0.008514835769113029	2020-07-20 16:57:27.512603	2020-07-20 17:10:23.331919	0.985167395193628	18.021362893091602	64	10	0.03923974622079543	512	0.7319710517076815	0.001961473486093947	0.008514835769113029	0.003673511037540108	0.005192802639485708	3478.694956858921	0.0055519928946307535	0.001961473486093947	0.008514835769113029	0.003673511037540108	0.005192802639485708	3478.693420560324	0.005551997192078386	2341897949	150	0.001961473486093947	0.008514835769113029	0.003673511037540108	0.005192802639485708	3478.696493157519	0.005551988688950245	6	COMPLETE
7	0.004189389902379845	2020-07-20 17:10:23.333660	2020-07-20 17:24:10.835946	0.4583922852661376	6.60895500847791	128	9	0.09162240032715586	512	0.9691784549231662	0.0004932028707808478	0.004189389902379845	0.0012471796732389257	0.002097529450447284	4618.726742933593	0.002945556254496955	0.0004932028707808478	0.004189389902379845	0.0012471796732389257	0.002097529450447284	4618.725909590812	0.002945557400448117	331705234	150	0.0004932028707808478	0.004189389902379845	0.0012471796732389257	0.002097529450447284	4618.727576276375	0.0029455551178250773	7	COMPLETE
8	0.004472839828115965	2020-07-20 17:24:10.837555	2020-07-20 18:12:33.183416	0.26958449944048474	11.534234164828868	128	4	0.06525879354938352	128	0.7689514234976664	0.0005725688499869613	0.004472839828115965	0.0014172496286805974	0.0022392544133153437	3654.5767270603974	0.003180125147036887	0.0005725688499869613	0.004472839828115965	0.0014172496286805974	0.0022392544133153437	3654.575579088198	0.0031801257858941525	875420058	200	0.0005725688499869613	0.004472839828115965	0.0014172496286805974	0.0022392544133153437	3654.5778750325967	0.0031801245102040148	8	COMPLETE
9	0.0041837209038651235	2020-07-20 18:12:33.185070	2020-07-20 18:49:49.416599	0.6382600696712764	14.329591720933509	128	10	0.09757607756088442	128	0.9673089699778658	0.00064059683216363	0.0041837209038651235	0.0015929885826369914	0.0022562614088595108	4609.959639565074	0.003103516633271506	0.00064059683216363	0.0041837209038651235	0.0015929885826369914	0.0022562614088595108	4609.958775042801	0.003103520932198032	113203183	150	0.00064059683216363	0.0041837209038651235	0.0015929885826369914	0.0022562614088595108	4609.9605040873475	0.0031035124067326837	9	COMPLETE
