number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.007186858316221766	2020-07-16 18:50:30.839917	2020-07-16 19:08:44.886771	0.8962957539575894	1.4338557585620042	64	5	0.001966366390610126	256	0.6303273334989631	0.001026694045174538	0.007186858316221766	0.00238611301239638	0.003621948437143509	3014.4766046847667	0.004814024307774889	0.001026694045174538	0.007186858316221766	0.00238611301239638	0.003621948437143509	3014.4749600730092	0.004814032819771083		358992195.0	200.0	0.001026694045174538	0.007186858316221766	0.00238611301239638	0.003621948437143509	3014.4782492965246	0.004814015875874354	0		COMPLETE
1	0.005047912388774812	2020-07-16 19:08:44.888158	2020-07-16 19:30:49.820027	0.5499900359180647	8.631911056731372	128	10	0.04541137978517439	128	0.7613284478200933	0.0006654498440946079	0.005047912388774812	0.0018442467107764849	0.0029089664613278577	3644.3761692904404	0.003532864785956851	0.0006654498440946079	0.005047912388774812	0.0018442467107764849	0.0029089664613278577	3644.375114077116	0.0035328653659264632		131522661.0	150.0	0.0006654498440946079	0.005047912388774812	0.0018442467107764849	0.0029089664613278577	3644.3772245037644	0.0035328642074621166	1		COMPLETE
2	0.007909346718381626	2020-07-16 19:30:49.821336	2020-07-16 19:38:47.290863	0.4597206844210734	6.2330563433342245	128	5	0.05534942793444475	512	0.6386986674264717	0.0007415012548482775	0.007909346718381626	0.002443151570461632	0.004325423986614951	3054.3164926990644	0.0050038911647681565	0.0007415012548482775	0.007909346718381626	0.002443151570461632	0.004325423986614951	3054.3155182903643	0.005004017620767858		856916527.0	150.0	0.0007415012548482775	0.007909346718381626	0.002443151570461632	0.004325423986614951	3054.317467107765	0.005003782177060831	2		COMPLETE
3	0.0071393261845007225	2020-07-16 19:38:47.292268	2020-07-16 19:51:23.951167	0.2601177946979484	23.9820269812692	128	5	0.06584507064830078	256	0.8178026886330177	0.0016921438892691459	0.0071393261845007225	0.0033652749258498743	0.00455357821887596	3916.520500608411	0.004695001581290743	0.0016921438892691459	0.0071393261845007225	0.0033652749258498743	0.00455357821887596	3916.5191554490834	0.0046950029752552795		367141371.0	150.0	0.0016921438892691459	0.0071393261845007225	0.0033652749258498743	0.00455357821887596	3916.521845767739	0.004695000194555557	3		COMPLETE
4	0.007186858316221766	2020-07-16 19:51:23.952679	2020-07-16 19:58:59.875984	0.8687032492689073	9.628591307283111	64	2	0.05021081135286202	512	0.9312101136684315	0.0018632595634649023	0.007186858316221766	0.003222678530686744	0.004572591071564378	4462.75462962963	0.004673883901245459	0.0018632595634649023	0.007186858316221766	0.003222678530686744	0.004572591071564378	4462.753688493422	0.004673886239112108		2866964658.0	150.0	0.0018632595634649023	0.007186858316221766	0.003222678530686744	0.004572591071564378	4462.755570765838	0.004673881591000067	4		COMPLETE
5	0.00781428245493954	2020-07-16 19:58:59.877347	2020-07-16 20:06:41.660628	0.5922590636582177	7.479793328753042	64	9	0.036017401541777794	512	0.946872969500254	0.001996349532283824	0.00781428245493954	0.0036884934215529698	0.004829264582858012	4538.285102479276	0.005016645084919258	0.001996349532283824	0.00781428245493954	0.0036884934215529698	0.004829264582858012	4538.28409004487	0.005016666428240077		4086812875.0	150.0	0.001996349532283824	0.00781428245493954	0.0036884934215529698	0.004829264582858012	4538.286114913682	0.005016624878327499	5		COMPLETE
6		2020-07-16 20:06:41.662075	2020-07-16 20:06:46.366515	0.24733832456493327	22.649716302631514	128	6	0.02822260690890551	512														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 15.47 GiB already allocated; 4.74 GiB free; 26.05 GiB reserved in total by PyTorch)									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7		2020-07-16 20:06:46.366532	2020-07-16 20:06:53.806606	0.7541850252474348	28.006447736266697	128	9	0.04461386971476185	256														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 15.47 GiB already allocated; 4.74 GiB free; 26.05 GiB reserved in total by PyTorch)									7	Setting status of trial#7 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
8		2020-07-16 20:06:53.806623	2020-07-16 20:06:58.457187	0.7298076900064885	1.6273128991444397	128	6	0.010275229276242012	512														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 15.47 GiB already allocated; 4.74 GiB free; 26.05 GiB reserved in total by PyTorch)									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9		2020-07-16 20:06:58.457201	2020-07-16 20:07:09.923060	0.8627279668775201	11.39489387161291	128	6	0.05059118251862465	128														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 15.47 GiB already allocated; 4.74 GiB free; 26.05 GiB reserved in total by PyTorch)									9	Setting status of trial#9 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
