number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.010293168605060772	2020-07-24 14:11:10.296276	2020-07-24 15:25:47.544001	0.528788391010842	23.349352834009377	64	7	0.04497638056871669	512	0.7044055155264092	0.0014118761043491984	0.010293168605060772	0.0035508261306985826	0.00558268774993166	3177.1825244401107	0.006239770547755177	0.0014118761043491984	0.010293168605060772	0.0035508261306985826	0.00558268774993166	3177.1813668989735	0.00623977355887584	3310622712	150	0.0014118761043491984	0.010293168605060772	0.0035508261306985826	0.00558268774993166	3177.1836819812484	0.006239767584162864	0	COMPLETE
1	0.0047344348409314434	2020-07-24 15:25:47.545552	2020-07-24 18:01:20.343001	0.1243992308088687	9.440460168380774	128	1	0.08782333333131385	128	0.8739450509054081	0.0004988065278838486	0.0047344348409314434	0.0014372391481399026	0.002410898218105268	3966.3284936888294	0.003410534488256853	0.0004988065278838486	0.0047344348409314434	0.0014372391481399026	0.002410898218105268	3966.3279526105616	0.00341053599956019	979106242	150	0.0004988065278838486	0.0047344348409314434	0.0014372391481399026	0.002410898218105268	3966.329034767097	0.0034105329962213554	1	COMPLETE
2	0.009075742503106972	2020-07-24 18:01:20.344430	2020-07-24 20:45:26.243772	0.7620240939872404	17.13704823557899	128	10	0.0352225318829996	256	0.6941176755350352	0.001314651103151499	0.009075742503106972	0.003235197141303153	0.005004973974698955	3122.2643674597784	0.00567154109966985	0.001314651103151499	0.009075742503106972	0.003235197141303153	0.005004973974698955	3122.26270618041	0.005671684340898522	1654952827	200	0.001314651103151499	0.009075742503106972	0.003235197141303153	0.005004973974698955	3122.266028739147	0.005671444848788926	2	COMPLETE
3	0.006313988845896964	2020-07-24 20:45:26.245396	2020-07-24 23:27:37.538282	0.7977097612517786	19.651555198372712	64	5	0.08028324441017472	128	0.9447479959219172	0.000801753995383926	0.006313988845896964	0.0020868148807796035	0.0033352402584775976	4317.51905891835	0.0042144359604792125	0.000801753995383926	0.006313988845896964	0.0020868148807796035	0.0033352402584775976	4317.518314935733	0.004214437032832923	99319074	150	0.000801753995383926	0.006313988845896964	0.0020868148807796035	0.0033352402584775976	4317.519802900969	0.004214434897342578	3	COMPLETE
4	0.007011472550141329	2020-07-24 23:27:37.539880	2020-07-25 01:05:00.543329	0.24178143998420315	8.852553910445714	64	2	0.041650846135748036	256	0.9576207422390566	0.0008567072569304517	0.007011472550141329	0.0023601721305238597	0.003687504755570711	4383.981468069337	0.0045447547493455386	0.0008567072569304517	0.007011472550141329	0.0023601721305238597	0.003687504755570711	4383.980509909905	0.0045447634223097794	4048725420	150	0.0008567072569304517	0.007011472550141329	0.0023601721305238597	0.003687504755570711	4383.982426228769	0.0045447465946385586	4	COMPLETE
5	0.004689344985303525	2020-07-25 01:05:00.544965	2020-07-25 03:38:26.559661	0.6488867651257674	1.6382642053751253	64	4	0.02586245740347545	128	0.9581128132333742	0.0005861681231629407	0.004689344985303525	0.001469647481872469	0.002351717782593625	4376.119365529369	0.0034762267654992753	0.0005861681231629407	0.004689344985303525	0.001469647481872469	0.002351717782593625	4376.117288577894	0.0034762280729361155	4069001610	150	0.0005861681231629407	0.004689344985303525	0.001469647481872469	0.002351717782593625	4376.121442480844	0.0034762254686986674	5	COMPLETE
6	0.007063607695711109	2020-07-25 03:38:26.561075	2020-07-25 06:11:39.426003	0.992480014708434	7.580846907745429	64	3	0.049465146280053905	128	0.664898664062216	0.0008877065326746456	0.007063607695711109	0.00241794350804713	0.0037635938869428234	2969.6191837608885	0.004916950655884762	0.0008877065326746456	0.007063607695711109	0.00241794350804713	0.0037635938869428234	2969.6182326467465	0.0049169531087344025	3845868668	150	0.0008877065326746456	0.007063607695711109	0.00241794350804713	0.0037635938869428234	2969.6201348750305	0.004916948235849276	6	COMPLETE
7	0.01341000487534064	2020-07-25 06:11:39.427934	2020-07-25 07:55:43.832718	0.796048697592624	21.199150101706508	64	3	0.024968232278279864	512	0.5172109088974007	0.0016119623386980867	0.01341000487534064	0.004423033025501131	0.007069243927664599	2283.020334820359	0.008010730222373615	0.0016133713966864592	0.01341000487534064	0.004423033025501131	0.007069243927664599	2283.019280140455	0.008011205452706043	2989891799	200	0.0016119623386980867	0.01341000487534064	0.004423033025501131	0.007069243927664599	2283.0213895002635	0.008010489940526434	7	COMPLETE
8	0.003199970691593842	2020-07-25 07:55:43.834475	2020-07-25 10:31:14.624497	0.7905602071614183	2.9300546660138647	128	5	0.09840236306500769	128	0.6679719973754666	0.000363536961000093	0.003199970691593842	0.0009807043599072277	0.0016105532807097144	2936.3916800762017	0.0026590164830686464	0.000363536961000093	0.003199970691593842	0.0009807043599072277	0.0016105532807097144	2936.390961456628	0.0026590201031808495	3889243557	150	0.000363536961000093	0.003199970691593842	0.0009807043599072277	0.0016105532807097144	2936.392398695776	0.0026590129216105675	8	COMPLETE
9	0.008354304813060277	2020-07-25 10:31:14.626297	2020-07-25 11:44:20.941818	0.24065318857683093	17.407286639097702	64	3	0.0767664576410955	512	0.7355115555574001	0.0010539753753025952	0.008354304813060277	0.002815297860768162	0.004438532663373228	3319.553084146125	0.0052600178204263515	0.0010539753753025952	0.008354304813060277	0.002815297860768162	0.004438532663373228	3319.5518998328857	0.005260019262682677	1541087838	150	0.0010539753753025952	0.008354304813060277	0.002815297860768162	0.004438532663373228	3319.5542684593643	0.00526001639034218	9	COMPLETE
