number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.005444953215210034	2020-07-24 14:10:36.660717	2020-07-24 14:38:06.574948	0.43132290037235943	17.623635841107756	64	4	0.06751521831440094	128	0.9719350905696243	0.0016623531753931914	0.005444953215210034	0.002787178976707147	0.003663149512243679	4660.337616961975	0.003973881120545527	0.0016623531753931914	0.005444953215210034	0.002787178976707147	0.003663149512243679	4660.336502090384	0.003973883100951278		1552175195.0	200.0	0.0016623531753931914	0.005444953215210034	0.002787178976707147	0.003663149512243679	4660.338731833565	0.003973879162446126	0		COMPLETE
1		2020-07-24 14:38:06.577088	2020-07-24 14:38:14.053278	0.2656779220975471	14.693228028158993	128	8	0.04302750754490898	256														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 14.78 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2	0.010531554847700577	2020-07-24 14:38:14.053294	2020-07-24 14:55:54.430569	0.7110386826704265	27.920887499466716	64	6	0.009006285155513365	256	0.7492832190458542	0.0039617758311765875	0.010531554847700577	0.006002389010551464	0.007545291658371491	3588.7641897272547	0.007443260884917517	0.0039617758311765875	0.010531554847700577	0.006002389010551464	0.007545291658371491	3588.7622138164443	0.007443263103381766		580478923.0	200.0	0.0039617758311765875	0.010531554847700577	0.006002389010551464	0.007545291658371491	3588.766165638065	0.007443258684616847	2		COMPLETE
3		2020-07-24 14:55:54.432203	2020-07-24 14:56:01.872180	0.6342022753407524	24.331627691756562	128	4	0.027260022974853717	256														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 14.78 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4		2020-07-24 14:56:01.872196	2020-07-24 14:56:08.493170	0.5400004881407386	12.81943146833856	128	1	0.056508467656962116	256														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 14.78 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5	0.008152498506868406	2020-07-24 14:56:08.493189	2020-07-24 15:23:29.004409	0.23420752957620233	27.153581336960105	64	3	0.05611832911543854	128	0.7665943183502553	0.003284889508261995	0.008152498506868406	0.004718295839139956	0.005783396376667331	3671.821879354967	0.006156467200508924	0.003284889508261995	0.008152498506868406	0.004718295839139956	0.005783396376667331	3671.820565399164	0.006156468506692474		4013076102.0	200.0	0.003284889508261995	0.008152498506868406	0.004718295839139956	0.005783396376667331	3671.8231933107704	0.006156465909475051	5		COMPLETE
6		2020-07-24 15:23:29.006050	2020-07-24 15:23:35.642960	0.6407008030006864	23.70429500916516	128	1	0.06640118876418379	256														CUDA out of memory. Tried to allocate 9.41 GiB (GPU 0; 31.72 GiB total capacity; 14.78 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7	0.010262791160660959	2020-07-24 15:23:35.642977	2020-07-24 15:34:36.670344	0.2468478865895277	14.966433401707109	64	7	0.0820073648987741	512	0.6476105917157199	0.002389010551463269	0.010262791160660959	0.004638662154091181	0.006360740593270953	3099.1894385825203	0.006816917268645059	0.002389010551463269	0.010262791160660959	0.004638662154091181	0.006360740593270953	3099.1885128409317	0.006816917987970501		3009067789.0	200.0	0.002389010551463269	0.010262791160660959	0.004638662154091181	0.006360740593270953	3099.190364324109	0.006816916552161915	7		COMPLETE
8	0.0065896874377861835	2020-07-24 15:34:36.671925	2020-07-24 16:01:48.506498	0.7286757871290607	22.13039502021663	64	1	0.06561761823310422	128	0.9686034173764224	0.0027075452916583715	0.0065896874377861835	0.003892096356758909	0.004797929524188732	4644.312193908023	0.005023806110894083	0.0027075452916583715	0.0065896874377861835	0.003892096356758909	0.004797929524188732	4644.31136770854	0.005023806691762561		1746465040.0	200.0	0.0027075452916583715	0.0065896874377861835	0.003892096356758909	0.004797929524188732	4644.3130201075055	0.0050238055324276915	8		COMPLETE
9	0.008928926936093968	2020-07-24 16:01:48.508150	2020-07-24 16:12:50.671001	0.9004395361562324	21.271128313696813	64	5	0.011347308691075388	512	0.8477886011696206	0.003474019510252837	0.008928926936093968	0.005136372685646028	0.006291061118853275	4062.9731286084016	0.006377864210412788	0.003474019510252837	0.008928926936093968	0.005136372685646028	0.006291061118853275	4062.971530957595	0.006377865412122623		814987044.0	200.0	0.003474019510252837	0.008928926936093968	0.005136372685646028	0.006291061118853275	4062.9747262592077	0.006377863016931279	9		COMPLETE
