number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-07-16 20:08:24.407495	2020-07-16 20:08:47.054008	0.25259151240669053	26.51561822106223	128	2	7	0.05426313721071437	512														CUDA out of memory. Tried to allocate 9.23 GiB (GPU 0; 31.72 GiB total capacity; 22.01 GiB already allocated; 6.39 GiB free; 24.40 GiB reserved in total by PyTorch)									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.004201915239665484	2020-07-16 20:08:47.054026	2020-07-16 21:10:14.002373	0.8986721862657543	6.095989208444768	128	2	8	0.0963363265293105	256	0.9817026149589309	0.0003089096234652216	0.004201915239665484	0.0011202626103979723	0.001974416328292772	4543.274915608124	0.0030031430054342466	0.0003089096234652216	0.004205637042357837	0.0011202626103979723	0.001974416328292772	4543.26700212515	0.0030032840603714203		1014856120.0	150.0	0.0003089096234652216	0.004201915239665484	0.0011202626103979723	0.001974416328292772	4543.282829091098	0.0030030112419702198	1		COMPLETE
2	0.004220524253127245	2020-07-16 21:10:14.003769	2020-07-16 22:33:04.070501	0.40451690765141357	14.212979080732385	128	2	4	0.014965832162460894	128	0.5293104078736192	0.0004912779553904729	0.004220524253127245	0.001324961758477336	0.002164228265602727	2372.68923133609	0.0039433064692539445	0.0005061651661598813	0.004287516701589582	0.0013547361800161526	0.002208889897910952	2372.6113470320483	0.003960861243027971		204671950.0	150.0	0.0004912779553904729	0.004216802450434893	0.0013231008571311601	0.002164228265602727	2372.7671156401316	0.003930209523044107	2		COMPLETE
3	0.004838343500057688	2020-07-16 22:33:04.071918	2020-07-16 23:26:07.459055	0.3552199386387489	29.951902884860566	64	1	3	0.017708077181469106	256	0.9740433252780343	0.0006848116953927805	0.004838343500057688	0.0016617849021351983	0.002536408534837934	4507.363182811227	0.003531237433968638	0.0006848116953927805	0.004838343500057688	0.0016617849021351983	0.002536408534837934	4507.3608492409385	0.003531240622855747		1253417567.0	150.0	0.0006848116953927805	0.004838343500057688	0.0016617849021351983	0.002536408534837934	4507.365516381515	0.003531234279068977	3		COMPLETE
4	0.004600148127747156	2020-07-16 23:26:07.460425	2020-07-17 00:10:45.041097	0.8227996245077773	16.737990525476647	128	2	10	0.0948751901708406	512	0.5669082482926866	0.00045219902712077624	0.004600148127747156	0.0013621797854008568	0.002249829727526825	2552.033164053341	0.0035700436218337804	0.0004615035338516564	0.004661557872170965	0.0013900933055934974	0.0022963522611812257	2551.926531614853	0.0035862263397169946		519577995.0	150.0	0.00045219902712077624	0.0045927045223624514	0.0013621797854008568	0.002247968826180649	2552.1397964918287	0.00355739134399885	4		COMPLETE
5	0.0007127252155854209	2020-07-17 00:10:45.042539	2020-07-17 01:32:54.175348	0.39188798340845776	25.056374471640446	64	2	5	0.08583992433786898	128	0.8911030696445983	6.140974442380912e-05	0.0007127252155854209	0.00021586455615641993	0.00035543215711962247	4107.559696784735	0.0015527925226766677	6.140974442380912e-05	0.0007127252155854209	0.00021586455615641993	0.00035543215711962247	4107.49593579146	0.0015530534556415017		1099718808.0	150.0	6.140974442380912e-05	0.0007127252155854209	0.00021586455615641993	0.00035543215711962247	4107.62345777801	0.0015525448699544764	5		COMPLETE
6	0.005532459702181349	2020-07-17 01:32:54.176733	2020-07-17 02:16:38.729528	0.8158579420318917	8.418073076529241	128	1	5	0.010202118458178675	512	0.7785272781531983	0.001321239955784984	0.005532459702181349	0.0022963522611812257	0.0032770472706159957	3569.8087300464854	0.004288957333870353	0.001321239955784984	0.005532459702181349	0.0022963522611812257	0.0032770472706159957	3569.8042778400145	0.004288959305021626		1801536422.0	150.0	0.001321239955784984	0.005532459702181349	0.0022963522611812257	0.0032770472706159957	3569.8131822529563	0.004288955376759063	6		COMPLETE
7	0.003189584907345722	2020-07-17 02:16:38.730936	2020-07-17 03:37:15.276528	0.7749346256678901	13.585729457752587	128	1	2	0.07283720930856213	128	0.8917814527129575	0.0012356384938608865	0.003189584907345722	0.001935337400023075	0.0022982131625274016	4089.889062366248	0.0027996024579182185	0.0012356384938608865	0.003189584907345722	0.001935337400023075	0.0022982131625274016	4089.877158180336	0.0027996073660742733		2837834709.0	150.0	0.0012356384938608865	0.003189584907345722	0.001935337400023075	0.0022982131625274016	4089.9009665521594	0.002799597564159486	7		COMPLETE
8	0.0040437386252405215	2020-07-17 03:37:15.277900	2020-07-17 05:09:02.620058	0.3363180278857608	16.442980762757486	64	1	9	0.09105871675883752	128	0.7966790112286047	0.0004280073096204878	0.0040437386252405215	0.0012765783234767593	0.00199860804579306	3639.1953369534067	0.0027485910892748036	0.0004280073096204878	0.0040437386252405215	0.0012765783234767593	0.00199860804579306	3639.1843036693253	0.002748596468924599		776769926.0	150.0	0.0004280073096204878	0.0040437386252405215	0.0012765783234767593	0.00199860804579306	3639.206370237488	0.0027485857512814862	8		COMPLETE
9	0.0052533245002549436	2020-07-17 05:09:02.621477	2020-07-17 05:50:59.545833	0.7555159345216725	5.4812493120961125	64	1	2	0.017461478694072097	512	0.6733995523471266	0.0012709956194382312	0.0052533245002549436	0.002140036548102439	0.002966276745804598	3064.6082160655337	0.004237654646111784	0.0012709956194382312	0.0052533245002549436	0.002140036548102439	0.002966276745804598	3064.605118595243	0.004237661362440552		1943326289.0	150.0	0.0012709956194382312	0.0052533245002549436	0.002140036548102439	0.002966276745804598	3064.611313535824	0.004237648315158048	9		COMPLETE
