number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.005483826183534639	2020-07-24 14:10:46.588821	2020-07-24 14:49:18.680331	0.5291572502114078	26.815000850164196	128	9	0.09603523181060832	256	0.9610784926040075	0.0009961127308066083	0.005483826183534639	0.002176176593086214	0.0032555879494655005	4540.322509718173	0.0038602597444462572	0.0009961127308066083	0.005483826183534639	0.002176176593086214	0.0032555879494655005	4540.3214181591	0.003860260490820281	3365832671	150	0.0009961127308066083	0.005483826183534639	0.002176176593086214	0.0032555879494655005	4540.323601277246	0.003860259001624208	0	COMPLETE
1	0.008378453422185201	2020-07-24 14:49:18.681920	2020-07-24 15:53:13.678903	0.40663406098482413	10.860988880756507	64	1	0.07329761102516419	256	0.5529780185373958	0.0009544634180202693	0.008378453422185201	0.002807857837012356	0.00456754130223518	2576.9139108704708	0.005728648528903265	0.0009544634180202693	0.008378453422185201	0.002807857837012356	0.00456754130223518	2576.9134249618214	0.00572865031913291	2735435708	250	0.0009544634180202693	0.008378453422185201	0.002807857837012356	0.00456754130223518	2576.9143967791197	0.0057286467599669925	1	COMPLETE
2	0.0062161599333611	2020-07-24 15:53:13.680332	2020-07-24 17:18:31.615324	0.15433612448314796	21.266256224970203	128	4	0.07883288041440623	128	0.6398658093192298	0.0007670415104817437	0.0062161599333611	0.0021032902957101207	0.0033423573511037067	2994.2309610578927	0.004411320545904557	0.0007670415104817437	0.0062161599333611	0.0021032902957101207	0.0033423573511037067	2994.229918089685	0.004411323126383772	1923060436	200	0.0007670415104817437	0.0062161599333611	0.0021032902957101207	0.0033423573511037067	2994.2320040261	0.0044113179887297444	2	COMPLETE
3	0.005383173677634319	2020-07-24 17:18:31.616708	2020-07-24 17:43:40.224178	0.941754162837588	11.310103056516068	128	9	0.07842331919013275	512	0.9048656289811058	0.0007600999583506872	0.005383173677634319	0.001898514507843954	0.0029675135360266555	4270.004588365959	0.003673711284197228	0.0007600999583506872	0.005383173677634319	0.001898514507843954	0.0029675135360266555	4270.003540191587	0.003673712414009757	3073818751	150	0.0007600999583506872	0.005383173677634319	0.001898514507843954	0.0029675135360266555	4270.005636540331	0.0036737101646373066	3	COMPLETE
4	0.008256976259891712	2020-07-24 17:43:40.225617	2020-07-24 19:33:58.821433	0.43248641395572107	23.9617528856914	64	6	0.08929695883331752	128	0.5534305175852358	0.0010204081632653062	0.008256976259891712	0.002627377481604887	0.004213522143551298	2579.10718971262	0.005657534756046151	0.0010204081632653062	0.008256976259891712	0.002627377481604887	0.004213522143551298	2579.1064868804665	0.005657538511954906	1028074650	250	0.0010204081632653062	0.008256976259891712	0.002627377481604887	0.004213522143551298	2579.107892544773	0.005657531048279005	4	COMPLETE
5	0.004321116201582674	2020-07-24 19:33:58.822910	2020-07-24 20:57:30.401410	0.41860451874894244	5.448492839939782	64	5	0.052980495439993884	128	0.8228643243981424	0.0005900319311398028	0.004321116201582674	0.0014646674996529223	0.002297653755379703	3873.4710467860614	0.0032796988585488307	0.0005900319311398028	0.004321116201582674	0.0014646674996529223	0.002297653755379703	3873.47001596557	0.0032797000650517808	65166351	200	0.0005900319311398028	0.004321116201582674	0.0014646674996529223	0.002297653755379703	3873.472077606553	0.0032796976619900737	5	COMPLETE
6	0.008683881715951686	2020-07-24 20:57:30.402800	2020-07-24 21:44:17.564545	0.963378384745154	8.733871770479638	128	4	0.0526585647370711	512	0.5375576625492208	0.0011245314452311536	0.008683881715951686	0.0027072053311120365	0.004404414827155352	2503.9652349715398	0.006001998479646941	0.0011245314452311536	0.008683881715951686	0.0027072053311120365	0.004404414827155352	2503.9645286686105	0.006002012121965121	3543752610	250	0.0011245314452311536	0.008683881715951686	0.0027072053311120365	0.004404414827155352	2503.965941274469	0.006001985746020594	6	COMPLETE
7	0.008569346105789254	2020-07-24 21:44:17.566011	2020-07-24 22:41:25.750983	0.9116728643975294	18.948294061267266	128	1	0.011851012592129742	128	0.7063864036048304	0.0015167291406358461	0.008569346105789254	0.003470776065528252	0.0051228654727197	3318.2321202970984	0.00546242002909449	0.0015167291406358461	0.008569346105789254	0.003470776065528252	0.0051228654727197	3318.23052200472	0.005462424511484495	3079068229	150	0.0015167291406358461	0.008569346105789254	0.003470776065528252	0.0051228654727197	3318.2337185894767	0.005462415654600091	7	COMPLETE
8	0.005882965431070387	2020-07-24 22:41:25.752505	2020-07-24 23:15:57.498963	0.8310658300417797	4.596623193038575	128	3	0.0204036771517554	256	0.9477989051694418	0.0007045675413022352	0.005882965431070387	0.002023462446202971	0.0032312925170068026	4477.349798694988	0.0038063313151843947	0.0007045675413022352	0.005882965431070387	0.002023462446202971	0.0032312925170068026	4477.3485769818135	0.0038063322555767147	1906855262	150	0.0007045675413022352	0.005882965431070387	0.002023462446202971	0.0032312925170068026	4477.351020408163	0.0038063303790108983	8	COMPLETE
9	0.00510204081632653	2020-07-24 23:15:57.500612	2020-07-24 23:40:46.055801	0.42679715245415595	6.035414047789853	128	4	0.06003093747966445	512	0.9777766934028784	0.0007288629737609329	0.00510204081632653	0.001804803554074691	0.002752325419963904	4620.29089615438	0.0035293419382437944	0.0007288629737609329	0.00510204081632653	0.001804803554074691	0.002752325419963904	4620.289882687769	0.0035293444479640086	3782155567	150	0.0007288629737609329	0.00510204081632653	0.001804803554074691	0.002752325419963904	4620.291909620992	0.003529339452414303	9	COMPLETE
